"Date of data","Trading partner code","Trading partner","US dollar",
"201801","502","United States","15,712,879,596",
"201802","502","United States","10,752,778,171",
"201803","502","United States","15,229,746,753",
"201804","502","United States","14,030,548,047",
"201805","502","United States","14,722,683,185",
"201806","502","United States","13,559,460,342",
"201807","502","United States","13,268,561,306",
"201808","502","United States","13,252,565,615",
"201809","502","United States","12,594,067,171",
"201810","502","United States","10,933,013,602",
"201811","502","United States","10,666,135,794",
"201812","502","United States","10,400,795,911",
