"Date of data","Trading partner code","Trading partner","US dollar",
"202101","502","United States","43,960,874,448",
"202102","502","United States","35,913,336,533",
"202103","502","United States","38,125,602,955",
"202104","502","United States","41,150,804,641",
"202105","502","United States","43,767,365,487",
"202106","502","United States","45,750,888,716",
"202107","502","United States","48,177,148,854",
"202108","502","United States","50,737,285,724",
"202109","502","United States","56,520,146,319",
"202110","502","United States","53,081,817,958",
"202111","502","United States","54,231,099,131",
"202112","502","United States","55,740,214,839",
