date,CA,MX,W00,CN
1960-01-01,-257.5,,-249.9,
1960-02-01,424.2,48.4,817.3,
1960-03-01,102.3,39.6,482.9,
1960-04-01,127.0,37.6,414.2,
1960-05-01,102.3,35.9,430.0,
1960-06-01,105.2,43.3,537.9,
1960-07-01,63.9,48.1,104.0,
1960-08-01,30.3,13.5,431.0,
1960-09-01,64.8,24.7,565.8,
1960-10-01,77.8,38.0,416.9,
1960-11-01,101.7,38.5,527.3,
1960-12-01,94.9,33.5,875.2,
1961-01-01,-215.0,,136.9,
1961-02-01,414.0,39.8,911.1,
1961-03-01,116.0,26.5,644.6,
1961-04-01,94.9,14.0,649.3,
1961-05-01,124.6,17.5,675.4,
1961-06-01,98.4,30.0,537.2,
1961-07-01,53.0,15.9,366.7,
1961-08-01,73.6,29.8,467.1,
1961-09-01,39.5,36.4,406.7,
1961-10-01,90.0,44.2,507.0,
1961-11-01,94.3,28.5,507.6,
1961-12-01,75.9,13.3,475.6,
1962-01-01,-271.3,,89.6,
1962-02-01,435.3,16.6,1005.1,
1962-03-01,128.7,17.1,611.5,
1962-04-01,99.2,-3.7,460.6,
1962-05-01,140.2,20.6,641.1,
1962-06-01,66.4,44.9,548.2,
1962-07-01,79.5,28.1,541.6,
1962-08-01,46.7,17.5,393.3,
1962-09-01,37.5,26.7,375.0,
1962-10-01,44.3,28.4,282.6,
1962-11-01,66.7,7.6,436.3,
1962-12-01,43.6,25.4,700.2,
1963-01-01,80.8,,408.3,
1963-02-01,71.9,,287.6,
1963-03-01,81.5,,480.6,
1963-04-01,95.6,12.0,673.8,
1963-05-01,80.2,25.1,677.7,
1963-06-01,83.5,38.8,677.9,
1963-07-01,50.6,26.9,559.4,
1963-08-01,55.6,26.7,474.6,
1963-09-01,39.9,21.8,478.6,
1963-10-01,107.1,29.8,558.9,
1963-11-01,79.9,13.0,575.4,
1963-12-01,65.8,15.6,743.3,
1964-01-01,132.2,,637.2,
1964-02-01,86.5,,509.8,
1964-03-01,109.3,,516.9,
1964-04-01,158.9,28.5,774.7,
1964-05-01,112.4,38.4,703.4,
1964-06-01,116.4,48.2,666.1,
1964-07-01,80.5,42.3,682.1,
1964-08-01,24.6,48.1,469.0,
1964-09-01,60.1,53.0,445.3,
